title,author,price
 小学生C++趣味编程,潘洪波,¥58.60
 浪潮之巅 第四版,吴军,¥139.00
 C Primer Plus 第6版 中文版 C语言入门经典教程,[美]史蒂芬·普拉达（Stephen Prata）,¥54.00
 Vlog短视频创作从新手到高手,刘川,¥39.50
 Excel最强教科书（完全版）教学视频+全彩印刷+案例文件 电子表格制作教书籍 零基础从入门到精通 函数高级会计数据透视,（日）藤井直弥，（日）大山啓介,¥66.40
 C++ Primer Plus 第6版 中文版,[美] 史蒂芬·普拉达,¥118.00
 这就是ChatGPT！揭开AIGC神秘面纱！OpenAI CEO 山姆·阿尔特曼（Sam Altman）强烈推荐！,[美] 斯蒂芬·沃尔弗拉姆（Stephen Wolfram）,¥59.80
 R语言实战（第3版）,[美]罗伯特 · I. 卡巴科弗（Robert I. Kabacoff）,¥59.90
 鸟哥的Linux私房菜 基础学习篇 第四版,鸟哥,¥59.00
 Origin科技绘图与数据分析,丁金滨,¥64.50
 数学要素 全彩图解 + 微课 +Python 编程,姜伟生,¥119.00
 控制之美（卷1）——控制理论从传递函数到状态空间,王天威,¥34.50
 算法竞赛（清华科技大讲堂）,罗勇军，郭卫斌,¥84.00
 Midjourney人工智能AI绘画教程：从娱乐到商用,雷波 著,¥86.20
 中小学C++编程项目学习创意课堂（微课版）,方其桂 主编，李怀伦、王丽娟 副主编,¥39.90
 矩阵力量：线性代数全彩图解+微课+Python编程,姜伟生,¥129.00
 word excel ppt从入门到精通 23年新版电脑办公软件学习wps office表格制作教程书计算机函数公式应用,曾焱,¥24.90
 Head First Java（中文版）（JAVA经典畅销书 生动有趣 轻松学好JAVA）,（美）塞若（Sierra，K.），（美）贝茨（Bates，B.） 著，O’Reilly Taiwan公司 译，张然 等改编,¥75.10
 Python编程三剑客第3版：Python编程从入门到实践第3版+快速上手第2版+极客项目编程（当当套装共3册）,[美]埃里克·马瑟斯（Eric Matthes） [美]阿尔·斯维加特（Al Sweigart） [美] Mahesh Venkitachalam,¥267.80
 算法竞赛入门经典（第2版）,刘汝佳 著,¥39.90
 SolidWorks 2022完全实战技术手册,黄建峰 李?B 史延枫,¥49.50
 CCF CSP第一轮认证一本通,丁向民,¥39.50
 数据密集型应用系统设计,[美] Martin Kleppmann（马丁·科勒普曼） 著 译者：赵军平 吕云松 耿煜 李三平,¥57.60
 大话数据结构 溢彩加强版,程杰,¥59.50
 小学生C++趣味编程（第二版）,潘洪波,¥97.00
 剪映短视频剪辑从入门到精通：调色+特效+字幕+配音,龙飞 编著,¥76.40
 Linux命令行与shell脚本编程大全（第4版）,[美] 理查德·布卢姆,¥64.90
 人工智能：现代方法（第4版）（上下册）,[美]斯图尔特·罗素（Stuart Russell）,¥198.00
 人月神话（纪念典藏版）,"【美】小弗雷德里克·P.布鲁克斯（Frederick P.Brooks, Jr.）著；UMLChina 译",¥49.00
 计算广告：互联网商业变现的市场与技术（第3版）,刘鹏 王超,¥49.90
 深度学习 人工智能算法，机器学习奠基之作，AI圣经,[美]Ian Goodfellow（伊恩·古德费洛）、[加]Yoshua Bengio（约书亚·本吉奥）、[加]Aaron Courville（亚伦·,¥168.00
 抖音+剪映+Premiere短视频制作从新手到高手,王斐,¥39.50
 STL源码剖析,侯捷 著,¥37.90
 启示录：打造用户喜爱的产品,Marty Cagan,¥19.20
 新印象 Unity 2020游戏开发基础与实战,杜亚南,¥64.90
 大话设计模式【Java溢彩加强版】,程杰,¥64.50
 产品经理方法论 构建完整的产品知识体系,赵丹阳,¥39.90
 信息学奥赛一本通关,蔡荣啸,¥64.00
 人人都能拍大片：手机短视频制作技巧指南,空叶,¥68.50
 GraphPad Prism科技绘图与数据分析,丁金滨、宗敏,¥69.50
 深度学习入门 基于Python的理论与实现,斋藤康毅,¥34.90
 剪映视频剪辑/调色/特效从入门到精通（手机版+电脑版）,麓山剪辑社,¥39.90
 网络是怎样连接的,[日]户根勤,¥34.90
 啊哈！算法,啊哈磊 著,¥29.90
 由浅入深学习SAP财务,高林旭,¥115.60
 算法图解,[美] 巴尔加瓦（Aditya Bhargava）,¥34.90
 秒懂AI提问：让人工智能成为你的效率神器,秋叶 刘进新 姜梅 定秋枫,¥59.80
 代码大全2 最新中文纪念版 赠全彩检查清单册 软件开发奠基之作编程最佳实用指南,[美]史蒂夫.麦康奈尔（Steve McConnell）著 陈玉毅 陈军 杨志昂 洪佳 徐东伟 王国良 徐毅 译,¥128.00
 Scratch编程入门与算法进阶 第2版,中国电子学会,¥39.50
 JavaScript高级程序设计 第4版,[美]马特·弗里斯比（Matt Frisbie）,¥64.50
 剪映：短、中、长视频剪辑全攻略（手机版+电脑版）,构图君,¥34.90
 操作系统导论,[美] 雷姆兹,¥97.00
 C++ Core Guidelines解析,[德]赖纳·格林（Rainer Grimm）著 吴咏炜、何荣华、张云潮、杨文波 译,¥64.00
 秒懂AI写作：让你轻松成为写作高手,秋叶 刘进新 贾凝墨 万静,¥59.80
 ChatGPT与AIGC工具入门实战指南 用AI提高办公学习效率！ChatGPT与AIGC生产力工具实践 智慧共生,王树义,¥29.90
 毫无PS痕迹（第二版） photoshop2022 ps教程零基础 ps入门 ps教程2022,赵鹏 著,¥47.00
 CST仿真设计理论与实践,张晓、李银、吴琼森、李瑞鹏,¥49.00
 SPSS实战与统计思维,武松,¥49.50
 硅谷之火：人与计算机的未来,（美）弗赖伯格，（美）斯韦因 著，张华伟 编译,¥17.90
 MySQL是怎样运行的 从根儿上理解MySQL,小孩子4919,¥49.50
 Stata统计分析从入门到精通,杨维忠，张甜,¥59.00
 流畅的Python（第2版）,[巴西]卢西亚诺·拉马略（Luciano Ramalho）,¥199.80
